,image_id,melanoma,seborrheic_keratosis,RGB1,RGB2,RGB3,RGB4,RGB1_occ,RGB2_occ,RGB3_occ,RGB4_occ,RGB1html,RGB2html,RGB3html,RGB4html,help_int_for_colors,border_diff_percent,image_symmetry,area,perimeter
127,ISIC_0014857,1.0,0.0,"126,69,47","170,108,93","223,152,143","195,130,117",6,26,27,39,#7e452f,#aa6c5d,#df988f,#c38275,melanoma,1.6022509848058526,1.09394084398072,18293678.0,14814.0
128,ISIC_0014931,1.0,0.0,"163,73,55","132,49,32","99,27,16","71,13,6",12,17,30,39,#a34937,#843120,#631b10,#470d06,melanoma,1.3010427528675703,1.108272395100614,7896961.0,17414.0
129,ISIC_0014937,0.0,0.0,"223,179,156","195,134,111","0,0,0","155,98,74",14,18,25,28,#dfb39c,#c3866f,#000000,#9b624a,healthy,1.0818225573560083,1.0614990229680177,22310872.0,16227.0
130,ISIC_0014945,0.0,0.0,"117,87,72","155,121,110","82,54,40","41,24,18",19,21,23,35,#755748,#9b796e,#523628,#291812,healthy,1.4996419620479768,1.130958230958231,1551024.0,5833.0
131,ISIC_0014946,1.0,0.0,"52,23,22","185,132,120","104,59,49","140,91,75",22,23,24,29,#341716,#b98478,#683b31,#8c5b4b,melanoma,1.3325955981802533,1.0904519864652005,9223399.0,13953.0
132,ISIC_0014979,1.0,0.0,"168,72,40","237,126,111","193,95,70","213,109,89",10,22,30,37,#a84828,#ed7e6f,#c15f46,#d56d59,melanoma,1.0442874134191562,1.0612038490119873,15588492.0,14431.0
133,ISIC_0014985,1.0,0.0,"190,144,151","99,43,38","139,96,88","122,70,64",1,20,33,44,#be9097,#632b26,#8b6058,#7a4640,melanoma,1.4523227383863082,1.1831845875011229,17073688.0,19027.0
134,ISIC_0014989,0.0,0.0,"162,110,92","197,143,126","93,40,28","125,70,53",20,22,25,32,#a26e5c,#c58f7e,#5d281c,#7d4635,healthy,1.433091286307054,1.1059194261312555,7256479.0,13078.0
135,ISIC_0015043,0.0,0.0,"104,59,39","151,104,80","183,133,112","211,162,149",16,26,26,30,#683b27,#976850,#b78570,#d3a295,healthy,1.4144484375951758,1.0533138604909935,9769837.0,14467.0
136,ISIC_0015062,0.0,1.0,"92,58,55","24,14,10","155,124,126","119,90,96",13,17,22,35,#5c3a37,#180e0a,#9b7c7e,#775a60,keratosis,0.5346185737976783,1.0042441003816167,27706864.0,23002.0
137,ISIC_0015124,1.0,0.0,"221,181,161","101,45,22","153,86,59","192,121,96",18,19,30,32,#ddb5a1,#652d16,#99563b,#c07960,melanoma,1.471750696731695,1.095359818443593,12048040.0,17115.0
138,ISIC_0015144,0.0,0.0,"160,123,100","126,86,63","95,52,34","64,26,17",12,20,27,39,#a07b64,#7e563f,#5f3422,#401a11,healthy,1.2356038170450807,1.0509485438741195,2930205.0,7891.0
139,ISIC_0015211,0.0,0.0,"158,110,92","201,164,144","92,35,44","225,205,193",16,27,27,28,#9e6e5c,#c9a490,#5c232c,#e1cdc1,healthy,1.4955368794696455,1.1274491954927914,13937869.0,12059.0
140,ISIC_0015243,1.0,0.0,"101,46,30","189,126,125","134,73,62","162,100,95",18,21,29,29,#652e1e,#bd7e7d,#86493e,#a2645f,melanoma,1.3593570608495982,1.1415158222778838,19736156.0,18599.0
141,ISIC_0015256,1.0,0.0,"165,80,55","0,0,0","226,133,115","201,110,89",14,15,26,29,#a55037,#000000,#e28573,#c96e59,melanoma,1.6348596956582435,1.0488337347096106,25221610.0,18790.0
142,ISIC_0015313,0.0,0.0,"219,192,172","122,66,37","160,110,78","192,147,119",15,21,30,31,#dbc0ac,#7a4225,#a06e4e,#c09377,healthy,1.4049644804229309,1.0880391461189765,18584836.0,18567.0
143,ISIC_0015372,0.0,0.0,"156,109,90","2,0,1","110,64,55","71,30,33",15,21,25,31,#9c6d5a,#020001,#6e4037,#471e21,healthy,0.7100938967136151,1.0645108886470551,23573976.0,15072.0
144,ISIC_0015401,0.0,0.0,"86,43,40","136,98,82","182,140,114","218,170,144",13,15,34,35,#562b28,#886252,#b68c72,#daaa90,healthy,1.4470646205828523,1.1749010766808248,6776275.0,12643.0
145,ISIC_0015443,0.0,0.0,"160,118,103","121,59,26","133,81,52","144,98,75",19,20,28,30,#a07667,#793b1a,#855134,#90624b,healthy,1.4917887618740944,1.0634069794397192,9732988.0,13775.0
146,ISIC_0015445,0.0,0.0,"88,28,20","216,141,128","130,73,64","171,110,100",19,23,24,32,#581c14,#d88d80,#824940,#ab6e64,healthy,1.6589595375722543,1.6120045190325094,12049938.0,19517.0
147,ISIC_0015483,0.0,0.0,"87,54,42","189,147,131","124,90,77","156,120,106",17,24,27,30,#57362a,#bd9383,#7c5a4d,#9c786a,healthy,1.5626187460417986,1.055045754088845,8856478.0,13813.0
148,ISIC_0015496,0.0,0.0,"154,75,51","71,27,16","216,116,91","243,169,144",20,25,27,27,#9a4b33,#471b10,#d8745b,#f3a990,healthy,1.4997829861111112,1.0422904002886082,8951522.0,13742.0
149,ISIC_0015627,0.0,0.0,"114,27,5","156,67,36","181,88,61","135,46,17",20,20,25,32,#721b05,#9c4324,#b5583d,#872e11,healthy,1.41301985577398,1.1082369104608978,3193093.0,8751.0
